,burger,pizza,fries,pasta,rice,chicken,salad,sandwich,sushi,steak
burger,66,1,2,0,1,0,0,3,0,2
pizza,0,70,0,0,1,1,1,1,0,1
fries,2,0,67,2,0,2,0,2,0,0
pasta,0,2,1,59,2,4,1,0,6,0
rice,0,0,0,6,54,3,0,0,1,1
chicken,0,0,1,0,2,61,2,0,0,9
salad,0,0,0,0,0,3,68,3,0,1
sandwich,4,1,0,3,1,2,1,59,3,1
sushi,0,0,0,1,3,1,1,2,58,1
steak,0,0,0,2,0,5,0,1,3,64
