accuracy,loss,val_accuracy,val_loss,learning_rate
0.5098153948783875,1.4559067487716675,0.4733242094516754,1.5965008735656738,2.9999999242136255e-05
0.5153823494911194,1.4347811937332153,0.4623802900314331,1.5724756717681885,2.9999999242136255e-05
0.5168473720550537,1.434045672416687,0.4746921956539154,1.562803030014038,2.9999999242136255e-05
0.5230002999305725,1.4002923965454102,0.4746921956539154,1.516159176826477,2.9999999242136255e-05
0.5262232422828674,1.3973934650421143,0.4842681288719177,1.5173516273498535,2.9999999242136255e-05
0.5209493041038513,1.3872491121292114,0.4487003982067108,1.600671648979187,2.9999999242136255e-05
0.5353061556816101,1.3691462278366089,0.49247604608535767,1.5005711317062378,1.4999999621068127e-05
0.540873110294342,1.3521616458892822,0.49521204829216003,1.515606164932251,1.4999999621068127e-05
0.5449751019477844,1.3627655506134033,0.48290014266967773,1.5315227508544922,1.4999999621068127e-05
0.5388221740722656,1.3482017517089844,0.4842681288719177,1.5238152742385864,7.499999810534064e-06
