accuracy,loss,val_accuracy,val_loss,learning_rate
0.6949897408485413,1.008854627609253,0.7906976938247681,0.6586852669715881,0.0010000000474974513
0.8118956685066223,0.5842475891113281,0.8303693532943726,0.5736198425292969,0.0010000000474974513
0.8429533839225769,0.47611814737319946,0.8372092843055725,0.5505045652389526,0.0010000000474974513
0.8558452725410461,0.4196149408817291,0.8372092843055725,0.5348849892616272,0.0010000000474974513
0.8804571032524109,0.37016984820365906,0.8207934498786926,0.5869460105895996,0.0010000000474974513
0.885731041431427,0.3462427258491516,0.8194254636764526,0.6106923222541809,0.0010000000474974513
0.9112218022346497,0.27710315585136414,0.8248974084854126,0.5577074289321899,0.0005000000237487257
0.9085848331451416,0.26408228278160095,0.8563611507415771,0.5182403326034546,0.0005000000237487257
0.9308526515960693,0.22737134993076324,0.8399452567100525,0.5270786285400391,0.0005000000237487257
0.926750659942627,0.2243974655866623,0.8385772705078125,0.5311833024024963,0.0005000000237487257
0.9308526515960693,0.20647235214710236,0.8399452567100525,0.5432427525520325,0.0002500000118743628
0.9349545836448669,0.18803700804710388,0.8331053256988525,0.5547857284545898,0.0002500000118743628
