,burger,pizza,fries,pasta,rice,chicken,salad,sandwich,sushi,steak
burger,67,0,2,2,0,0,0,1,2,1
pizza,0,70,0,1,0,1,1,0,0,2
fries,2,0,66,1,0,4,0,1,0,1
pasta,0,1,3,60,1,3,1,0,5,1
rice,0,0,0,4,54,3,0,0,3,1
chicken,0,0,1,1,1,62,1,2,2,5
salad,0,0,0,0,0,0,72,2,0,1
sandwich,7,3,0,2,2,1,3,54,2,1
sushi,0,0,0,0,0,1,1,3,61,1
steak,0,2,0,1,0,2,1,1,2,66
