model_name,alpha,max_features,ngram_range,validation_mae,validation_rmse,validation_r2,baseline_mae,mae_improvement_over_baseline
TF-IDF + Ridge Tuned,0.1,1000,"(1, 2)",150.19804948034061,191.37666482377404,0.3473446406354038,179.8768935206791,29.678844040338475
TF-IDF + Ridge Tuned,0.1,3000,"(1, 2)",162.0534641065704,199.84041054562942,0.28833997488334684,179.8768935206791,17.823429414108688
TF-IDF + Ridge Tuned,0.1,8000,"(1, 2)",162.0534641065704,199.84041054562942,0.28833997488334684,179.8768935206791,17.823429414108688
TF-IDF + Ridge Tuned,0.1,5000,"(1, 2)",162.0534641065704,199.84041054562942,0.28833997488334684,179.8768935206791,17.823429414108688
TF-IDF + Ridge Tuned,1.0,1000,"(1, 2)",163.32087149004388,200.69203498858016,0.28226154004535764,179.8768935206791,16.556022030635205
TF-IDF + Ridge Tuned,1.0,5000,"(1, 2)",167.10127391523582,206.40010385414084,0.24085319579186681,179.8768935206791,12.775619605443268
TF-IDF + Ridge Tuned,1.0,3000,"(1, 2)",167.10127391523582,206.40010385414084,0.24085319579186681,179.8768935206791,12.775619605443268
TF-IDF + Ridge Tuned,1.0,8000,"(1, 2)",167.10127391523582,206.40010385414084,0.24085319579186681,179.8768935206791,12.775619605443268
TF-IDF + Ridge Tuned,3.0,1000,"(1, 2)",168.37275396476005,209.5096504126843,0.21780684782240967,179.8768935206791,11.50413955591904
TF-IDF + Ridge Tuned,3.0,5000,"(1, 2)",170.33250204110794,213.67669575295577,0.18638253292776719,179.8768935206791,9.544391479571146
TF-IDF + Ridge Tuned,3.0,3000,"(1, 2)",170.33250204110794,213.67669575295577,0.18638253292776719,179.8768935206791,9.544391479571146
TF-IDF + Ridge Tuned,3.0,8000,"(1, 2)",170.33250204110794,213.67669575295577,0.18638253292776719,179.8768935206791,9.544391479571146
TF-IDF + Ridge Tuned,1.0,3000,"(1, 1)",172.66580934202602,212.28382856074725,0.19695521096590407,179.8768935206791,7.211084178653067
TF-IDF + Ridge Tuned,1.0,1000,"(1, 1)",172.66580934202602,212.28382856074725,0.19695521096590407,179.8768935206791,7.211084178653067
TF-IDF + Ridge Tuned,1.0,5000,"(1, 1)",172.66580934202602,212.28382856074725,0.19695521096590407,179.8768935206791,7.211084178653067
TF-IDF + Ridge Tuned,1.0,8000,"(1, 1)",172.66580934202602,212.28382856074725,0.19695521096590407,179.8768935206791,7.211084178653067
TF-IDF + Ridge Tuned,10.0,1000,"(1, 2)",173.22537519074447,221.39116669837506,0.12657318095170256,179.8768935206791,6.651518329934618
TF-IDF + Ridge Tuned,3.0,3000,"(1, 1)",173.38582782430422,215.59947612525778,0.17167389667770405,179.8768935206791,6.491065696374875
TF-IDF + Ridge Tuned,3.0,5000,"(1, 1)",173.38582782430422,215.59947612525778,0.17167389667770405,179.8768935206791,6.491065696374875
TF-IDF + Ridge Tuned,3.0,1000,"(1, 1)",173.38582782430422,215.59947612525778,0.17167389667770405,179.8768935206791,6.491065696374875
TF-IDF + Ridge Tuned,3.0,8000,"(1, 1)",173.38582782430422,215.59947612525778,0.17167389667770405,179.8768935206791,6.491065696374875
TF-IDF + Ridge Tuned,0.1,1000,"(1, 1)",174.8215017760343,220.2519770833743,0.1355386590730273,179.8768935206791,5.055391744644794
TF-IDF + Ridge Tuned,0.1,5000,"(1, 1)",174.8215017760343,220.2519770833743,0.1355386590730273,179.8768935206791,5.055391744644794
TF-IDF + Ridge Tuned,0.1,8000,"(1, 1)",174.8215017760343,220.2519770833743,0.1355386590730273,179.8768935206791,5.055391744644794
TF-IDF + Ridge Tuned,0.1,3000,"(1, 1)",174.8215017760343,220.2519770833743,0.1355386590730273,179.8768935206791,5.055391744644794
TF-IDF + Ridge Tuned,10.0,3000,"(1, 2)",174.94168273061783,224.41954376886815,0.10251480027509885,179.8768935206791,4.935210790061262
TF-IDF + Ridge Tuned,10.0,8000,"(1, 2)",174.94168273061783,224.41954376886815,0.10251480027509885,179.8768935206791,4.935210790061262
