accuracy,loss,val_accuracy,val_loss,learning_rate
0.7005566954612732,0.9631994962692261,0.801641583442688,0.6523807048797607,0.0010000000474974513
0.8359214663505554,0.5028135776519775,0.8426812291145325,0.5448108911514282,0.0010000000474974513
0.8719601631164551,0.4000200629234314,0.8262653946876526,0.6121523380279541,0.0010000000474974513
0.8828010559082031,0.3517882227897644,0.8426812291145325,0.5424495339393616,0.0010000000474974513
0.8983299136161804,0.3082669675350189,0.8522571921348572,0.562342643737793,0.0010000000474974513
0.9162027835845947,0.2637873589992523,0.8618330955505371,0.5357627868652344,0.0010000000474974513
0.9203047156333923,0.23754486441612244,0.8563611507415771,0.5771927833557129,0.0010000000474974513
0.9329035878181458,0.1987381875514984,0.8659370541572571,0.5595595836639404,0.0010000000474974513
0.9510694146156311,0.15918506681919098,0.870041012763977,0.4943317770957947,0.0005000000237487257
0.9581013917922974,0.13376419246196747,0.8659370541572571,0.5310856103897095,0.0005000000237487257
0.9607383608818054,0.13389399647712708,0.870041012763977,0.5355913639068604,0.0005000000237487257
0.964840292930603,0.11145193129777908,0.8590971231460571,0.5315461754798889,0.0002500000118743628
0.970407247543335,0.09796187281608582,0.870041012763977,0.5265379548072815,0.0002500000118743628
