loss,mae,val_loss,val_mae,learning_rate
0.12484763562679291,0.2796310782432556,0.08243200182914734,0.20936594903469086,0.0010000000474974513
0.06390675902366638,0.19197168946266174,0.06193703040480614,0.18320447206497192,0.0010000000474974513
0.04928426817059517,0.16498081386089325,0.05134383961558342,0.17771317064762115,0.0010000000474974513
0.043022334575653076,0.15906256437301636,0.04942453280091286,0.17866554856300354,0.0010000000474974513
0.04140804708003998,0.15911495685577393,0.04945472627878189,0.17947416007518768,0.0010000000474974513
0.03920210897922516,0.15060609579086304,0.04639502614736557,0.17437869310379028,0.0010000000474974513
0.034279920160770416,0.1369297206401825,0.045352157205343246,0.17357505857944489,0.0010000000474974513
0.035202812403440475,0.14038337767124176,0.046081990003585815,0.1753002256155014,0.0010000000474974513
0.02688245102763176,0.1248534694314003,0.04449932649731636,0.17228354513645172,0.0010000000474974513
0.024078629910945892,0.11694842576980591,0.04217365011572838,0.1706487536430359,0.0010000000474974513
0.020746836438775063,0.10896027088165283,0.04284755513072014,0.17308063805103302,0.0010000000474974513
0.016597798094153404,0.09462817013263702,0.045340318232774734,0.17516633868217468,0.0010000000474974513
0.01864512264728546,0.10127091407775879,0.04447714984416962,0.17317265272140503,0.0010000000474974513
0.011805105954408646,0.08155997097492218,0.044817280024290085,0.17556850612163544,0.0010000000474974513
0.01331118494272232,0.08726203441619873,0.04919560253620148,0.17452850937843323,0.0010000000474974513
0.013215320184826851,0.08849365264177322,0.044428467750549316,0.17042429745197296,0.0010000000474974513
0.010404977947473526,0.07445411384105682,0.047582048922777176,0.17856259644031525,0.0010000000474974513
0.009492279961705208,0.07253751903772354,0.04574998840689659,0.17736047506332397,0.0010000000474974513
0.00845090951770544,0.06998845189809799,0.05271979793906212,0.18074725568294525,0.0005000000237487257
0.008865590207278728,0.07151617109775543,0.05097800865769386,0.17809432744979858,0.0005000000237487257
0.010957451537251472,0.07885436713695526,0.05178235471248627,0.17749512195587158,0.0005000000237487257
0.010875175707042217,0.07867404818534851,0.05383497104048729,0.17987100780010223,0.0005000000237487257
0.01127664465457201,0.08087053894996643,0.05470087379217148,0.1811543107032776,0.0005000000237487257
0.012593649327754974,0.08614106476306915,0.055801909416913986,0.18300628662109375,0.0005000000237487257
0.013113303110003471,0.09068834781646729,0.06098528951406479,0.19205451011657715,0.0005000000237487257
0.020065275952219963,0.1099596843123436,0.05909885838627815,0.19002677500247955,0.0005000000237487257
0.023588918149471283,0.12037785351276398,0.04098333418369293,0.1640995293855667,0.0002500000118743628
0.011308031156659126,0.08063574880361557,0.041833460330963135,0.16714733839035034,0.0002500000118743628
0.010293513536453247,0.07729115337133408,0.045056700706481934,0.17101643979549408,0.0002500000118743628
0.012523798272013664,0.088250532746315,0.041608721017837524,0.16657114028930664,0.0002500000118743628
0.010658195242285728,0.08066105097532272,0.04191453754901886,0.168065145611763,0.0002500000118743628
0.008668359369039536,0.07183150947093964,0.04357380047440529,0.17066167294979095,0.0002500000118743628
0.009047912433743477,0.07273011654615402,0.04295315593481064,0.16927695274353027,0.0002500000118743628
0.011011969298124313,0.07946367561817169,0.042342234402894974,0.16911581158638,0.0002500000118743628
0.009885667823255062,0.07487261295318604,0.04343391954898834,0.1701795607805252,0.0002500000118743628
0.007987307384610176,0.0672459602355957,0.04250480979681015,0.17048630118370056,0.0001250000059371814
0.005560681223869324,0.05767080932855606,0.043592631816864014,0.17224162817001343,0.0001250000059371814
0.006412453018128872,0.06163488328456879,0.04351280257105827,0.17250090837478638,0.0001250000059371814
0.0055298348888754845,0.05758577957749367,0.04377816990017891,0.17240968346595764,0.0001250000059371814
0.006479631643742323,0.062410447746515274,0.04326099529862404,0.17153197526931763,0.0001250000059371814
0.00619844812899828,0.0616331472992897,0.04353226348757744,0.17201267182826996,0.0001250000059371814
0.006208526436239481,0.061576079577207565,0.04382609575986862,0.17238864302635193,0.0001250000059371814
0.00597009202465415,0.0592634342610836,0.04336706921458244,0.17192816734313965,0.0001250000059371814
0.00601569889113307,0.05866733193397522,0.04361901804804802,0.17226839065551758,6.25000029685907e-05
0.0062300050631165504,0.060431838035583496,0.04349560663104057,0.17220228910446167,6.25000029685907e-05
0.0059522585943341255,0.05646051466464996,0.04370050132274628,0.17251306772232056,6.25000029685907e-05
0.00585942855104804,0.058240387588739395,0.04358212277293205,0.17252978682518005,6.25000029685907e-05
