,burger,pizza,fries,pasta,rice,chicken,salad,sandwich,sushi,steak
burger,68,0,1,0,0,1,1,2,2,0
pizza,1,72,0,0,0,1,0,1,0,0
fries,1,0,71,1,0,1,0,0,0,1
pasta,1,3,2,61,0,2,2,0,3,1
rice,0,1,0,2,58,1,0,0,3,0
chicken,0,0,0,1,0,65,2,1,3,3
salad,0,1,0,0,1,1,70,1,0,1
sandwich,3,2,0,1,2,0,1,62,3,1
sushi,0,0,0,0,1,1,1,1,62,1
steak,0,1,0,1,2,4,0,1,1,65
