source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
bbc_good_food,burger,beef burger,Beef wellington,a good beef fillet (preferably Aberdeen Angus) of around 1kg/2lb 4oz 3 tbsp olive oil 250g/9oz chestnut mushroom include some wild ones if you like 50g/2oz butter 1 large sprig fresh thyme 100ml/3.5 fl oz dry white wine 12 slices prosciutto 500g/1lb 2oz pack puff pastry thawed if frozen a little flour for dusting 2 egg yolks beaten with 1 tsp water,779.0,46.0,52.0,27.0,https://www.bbcgoodfood.com/recipes/beef-wellington,2026-05-12 00:35:57
bbc_good_food,burger,beef burger,Porcini-buttered roast beef sirloin with pickled peppercorn sauce,2kg boneless sirloin rolled and tied 10g dried porcini mushrooms 1 tsp black peppercorns 50g unsalted butter softened 2 tbsp rapeseed or vegetable oil 6-8  shallots peeled and trimmed 2 tbsp green peppercorns 4 tbsp sherry vinegar 2 large shallots finely chopped 250ml beef or vegetable stock 200ml double cream,607.0,56.0,43.0,2.0,https://www.bbcgoodfood.com/recipes/porcini-buttered-roast-beef-sirloin-with-pickled-peppercorn-sauce,2026-05-12 00:35:59
bbc_good_food,burger,chicken burger,Peanut butter chicken,"2tbsp avocado oil 8 skinless boneless chicken thighs cut into chunks 1 onion finely chopped 3 garlic cloves crushed 2 red chillies finely sliced (deseeded if you don't like it too hot) 2tsp fresh ginger grated 2tbsp garam masala 100g smooth peanut butter 400ml coconut milk 400g can chopped tomatoes bunch of coriander ½ roughly chopped, ½ leaves picked roasted peanuts to serve cauliflower rice to serve",579.0,32.0,43.0,12.0,https://www.bbcgoodfood.com/recipes/peanut-butter-chicken,2026-05-12 00:36:13
bbc_good_food,burger,chicken burger,Easy butter chicken,500g skinless boneless chicken thighs 1/2-1 lemon (to taste) juiced 2 tsp ground cumin 2 tsp paprika 1-2 tsp hot chilli powder 200g natural yogurt 2 tbsp vegetable oil 1 large onion chopped 3 garlic cloves crushed 1 green chilli deseeded and finely chopped (optional) thumb-sized piece ginger grated 1 tsp garam masala 2 tsp ground fenugreek 3 tbsp tomato purée 300ml chicken stock 50g flaked almonds toasted cooked  basmati rice naan bread mango chutney or lime pickle fresh  coriander lime wedges,402.0,34.0,23.0,13.0,https://www.bbcgoodfood.com/recipes/easy-butter-chicken,2026-05-12 00:36:14
bbc_good_food,burger,chicken burger,Chicken & chorizo jambalaya,1 tbsp olive oil 2 chicken breasts chopped 1 onion diced 1 red pepper thinly sliced 2 garlic cloves crushed 75g chorizo sliced 1 tbsp Cajun seasoning 250g long grain rice 400g can plum tomato 350ml chicken stock,445.0,30.0,10.0,64.0,https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya,2026-05-12 00:36:16
bbc_good_food,burger,chicken burger,Classic butter chicken,"3 tbsp  lemon juice 2-3 tbsp  kashmiri chili powder or paprika 4 skinless  chicken breasts or 8 thigh fillets, chopped into 5cm cubes 3 tbsp melted butter or  ghee for basting the skewers 200ml  plain yogurt 1 tbsp crushed  garlic 1 tbsp finely grated  ginger 2 tbsp ground  coriander 2 tbsp ground  cumin 2 tsp  amchoor powder (dried mango powder) 1 tbsp dried  fenugreek leaves crushed 1 tbsp dried  mint leaves 1 tsp  plain salt 3 tbsp  vegetable oil 1 tsp  cumin seeds 4-8 hot  green chillies sliced 90g butter or  ghee 2 medium  onions finely chopped 4 green cardamom pods cracked ½ tbsp crushed  garlic ½ tbsp grated ginger 1 tsp  ground turmeric 2 tsp dried  fenugreek leaves crushed 500ml  passata diluted with 150ml water 2 tsp  garam masala 100ml single cream large pinch of  coriander leaves, to garnish",522.0,32.0,37.0,13.0,https://www.bbcgoodfood.com/recipes/classic-butter-chicken,2026-05-12 00:36:17
bbc_good_food,burger,chicken burger,Old Delhi-style butter chicken,"800g boneless and skinless chicken thighs, cut into bite-sized pieces coriander leaves, finely sliced red onion, sliced green or red chilli, naan bread or basmati rice, and chutney, to serve 120g Greek yogurt thumb-sized piece ginger grated 4-5 garlic cloves crushed 1 tbsp vegetable or coconut oil 1 lemon juiced 3 tsp mild chilli powder 1 tsp ground cumin ½ tsp garam masala ½ tsp turmeric 1kg ripe vine or plum tomatoes thumb-sized piece ginger peeled, half grated and half finely chopped 4 garlic cloves crushed 4 green cardamom pods 2 cloves 1 bay leaf 1-2 tsp chilli powder 80g butter diced 2 green chillies cut lengthways 75ml single cream plus a drizzle to serve 5-6 dried fenugreek leaves, crushed between your fingers (optional) 1 tsp garam masala 1 tbsp sugar or xylitol 3 tbsp ghee (see below) or butter 2 tsp black mustard seeds 1 dried whole Kashmiri chilli 6-8 dried curry leaves",472.0,29.0,34.0,11.0,https://www.bbcgoodfood.com/recipes/old-delhi-style-butter-chicken,2026-05-12 00:36:19
bbc_good_food,burger,chicken burger,Peanut butter chicken curry,"1 large  chicken jointed, or 1.5kg bone-in chicken pieces 6 garlic cloves 2 finely chopped, 4 left whole 3 lemongrass stalks, bashed and roughly chopped thumb-sized piece of  ginger peeled and finely chopped 1 tbsp ground  cumin 1 tbsp ground  coriander 1 tbsp ground  turmeric 2 limes juiced 2 red chillies 1 roughly chopped and 1 sliced to serve (optional) 1 small  onion roughly chopped 2 tbsp vegetable oil 100g smooth peanut butter 4 tbsp kecap manis or 3 tbsp soy sauce mixed with 1 tbsp light brown soft sugar 400g can  coconut milk a few  spring onions chopped small handful of  coriander chopped small handful of roasted  peanuts roughly chopped (optional)",517.0,34.0,39.0,7.0,https://www.bbcgoodfood.com/recipes/peanut-butter-chicken-curry,2026-05-12 00:36:21
bbc_good_food,burger,chicken burger,Slow-cooker butter chicken,500g skinless boneless chicken thighs cut into 3 pieces 1 lemon juiced 2 tsp ground cumin 2 tsp paprika 1-2 tsp hot chilli powder 200g natural yogurt 2 tbsp butter ghee or vegetable oil 1 large  onion chopped 3 garlic cloves crushed 1 green chilli deseeded and finely chopped (optional) thumb-sized piece ginger grated 1 tsp garam masala 2 tsp ground fenugreek 3 tbsp tomato purée 250ml chicken stock 50g flaked almonds toasted cooked basmati rice naan bread mango chutney or lime pickle fresh coriander lime wedges,371.0,36.0,19.0,11.0,https://www.bbcgoodfood.com/recipes/slow-cooker-butter-chicken,2026-05-12 00:36:24
bbc_good_food,burger,chicken burger,Cardamom butter chicken,"2 garlic cloves roughly chopped thumb-sized piece ginger chopped 2 green chillies chopped (leave seeds in if you like it hot) small bunch coriander leaves picked, stalks roughly chopped 3 tbsp ghee or vegetable oil 2 onions sliced 2 tsp each turmeric, garam masala and  ground cumin 1 tsp ground fenugreek 4 chicken breasts cut into 2.5cm cubes 4 cloves 12 cardamom pods seeds removed 1 cinnamon stick 400g can tomato 150ml pot yogurt 50ml double cream chapatis and  rice to serve",460.0,32.0,32.0,12.0,https://www.bbcgoodfood.com/recipes/cardamom-butter-chicken,2026-05-12 00:36:26
