class_index,class_name,train_count,class_weight
0,burger,350,0.9751428571428571
1,pizza,350,0.9751428571428571
2,fries,350,0.9751428571428571
3,pasta,350,0.9751428571428571
4,rice,301,1.1338870431893688
5,chicken,350,0.9751428571428571
6,salad,350,0.9751428571428571
7,sandwich,350,0.9751428571428571
8,sushi,312,1.0939102564102565
9,steak,350,0.9751428571428571
